20 8 2012 07 25 46.339   40.000000  -110.000000  2.0000        306.966241           -47.632229      20 27 51.8979        47 37 56.0233         195.463556           0.000107     7823.370954
20 8 2012 07 26 46.000   40.000000  -110.000000  2.0000        310.124392           -46.587452      20 40 29.8541        46 35 14.8266         193.865849           1.567912     7601.098313
20 8 2012 07 27 46.000   40.000000  -110.000000  2.0000        313.332109           -45.448824      20 53 19.7061        45 26 55.7669         192.160533           3.183169     7380.564131
20 8 2012 07 28 46.000   40.000000  -110.000000  2.0000        316.572724           -44.217085      21 06 17.4538        44 13 01.5065         190.345387           4.836453     7163.723223
20 8 2012 07 29 46.000   40.000000  -110.000000  2.0000        319.847595           -42.887090      21 19 23.4228        42 53 13.5226         188.408201           6.526313     6951.327394
20 8 2012 07 30 46.000   40.000000  -110.000000  2.0000        323.158179           -41.453606      21 32 37.9629        41 27 12.9804         186.335544           8.250205     6744.200356
20 8 2012 07 31 46.000   40.000000  -110.000000  2.0000        326.505956           -39.911465      21 46 01.4295        39 54 41.2752         184.112771          10.004166     6543.241225
20 8 2012 07 32 46.000   40.000000  -110.000000  2.0000        329.892347           -38.255776      21 59 34.1632        38 15 20.7924         181.724100          11.782419     6349.426436
20 8 2012 07 33 46.000   40.000000  -110.000000  2.0000        333.318594           -36.482211      22 13 16.4625        36 28 55.9607         179.152818          13.576920     6163.810424
20 8 2012 07 34 46.000   40.000000  -110.000000  2.0000        336.785670           -34.587375      22 27 08.5609        34 35 14.5496         176.381640          15.376864     5987.521459
20 8 2012 07 35 46.000   40.000000  -110.000000  2.0000        340.294144           -32.569259      22 41 10.5944        32 34 09.3319         173.393328          17.168171     5821.755183
20 8 2012 07 36 46.000   40.000000  -110.000000  2.0000        343.844053           -30.427777      22 55 22.5727        30 25 39.9988         170.171609          18.933021     5667.761792
20 8 2012 07 37 46.000   40.000000  -110.000000  2.0000        347.434763           -28.165371      23 09 44.3431        28 09 55.3358         166.702503          20.649505     5526.827840
20 8 2012 07 38 46.000   40.000000  -110.000000  2.0000        351.064861           -25.787602      23 24 15.5667        25 47 15.3674         162.976032          22.291558     5400.249049
20 8 2012 07 39 46.000   40.000000  -110.000000  2.0000        354.732033           -23.303724      23 38 55.6879        23 18 13.4054         158.988379          23.829271     5289.297142
